Month,DayofWeek,Tm,Home_Away,Opp,W/L,R,RA,W-L,Rank,D/N,cLI,Streak,Boxscore,Run_Diff,Avg_R_MA3,Avg_Ra_MA3,RunDiff_MA3,Avg_R_MA5,Avg_Ra_MA5,RunDiff_MA5,Avg_R_MA10,Avg_Ra_MA10,RunDiff_MA10,Opp_Month,Opp_DayofWeek,Opp_Rank,Opp_cLI,Opp_Streak,Opp_Boxscore,Opp_Run_Diff,Opp_Avg_R_MA3,Opp_Avg_Ra_MA3,Opp_RunDiff_MA3,Opp_Avg_R_MA5,Opp_Avg_Ra_MA5,Opp_RunDiff_MA5,Opp_Avg_R_MA10,Opp_Avg_Ra_MA10,Opp_RunDiff_MA10
3,5,NYY,1,SFG,1,5.0,0.0,1-0,1.0,0,0.93,1,https://www.baseball-reference.com/boxes/NYA/NYA202303300.shtml,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,5.0,3,5,3.0,0.91,-1,https://www.baseball-reference.com/boxes/NYA/NYA202303300.shtml,-5.0,2.667,2.333,0.333,3.2,2.2,1.0,3.9,2.2,1.7
4,0,NYY,1,SFG,0,5.0,7.0,1-1,2.0,0,0.92,-1,https://www.baseball-reference.com/boxes/NYA/NYA202304010.shtml,-2.0,5.0,3.5,1.5,5.0,3.5,1.5,5.0,3.5,1.5,4,0,3.0,0.84,1,https://www.baseball-reference.com/boxes/NYA/NYA202304010.shtml,2.0,3.0,3.667,-0.667,3.6,2.8,0.8,4.2,2.5,1.7
4,1,NYY,1,SFG,1,6.0,0.0,2-1,2.0,0,0.89,1,https://www.baseball-reference.com/boxes/NYA/NYA202304020.shtml,6.0,5.333,2.333,3.0,5.333,2.333,3.0,5.333,2.333,3.0,4,1,5.0,0.91,-1,https://www.baseball-reference.com/boxes/NYA/NYA202304020.shtml,-6.0,2.333,5.333,-3.0,3.0,3.6,-0.6,4.0,2.6,1.4
4,2,NYY,1,PHI,1,8.0,1.0,3-1,2.0,1,0.91,2,https://www.baseball-reference.com/boxes/NYA/NYA202304030.shtml,7.0,6.333,2.667,3.667,6.0,2.0,4.0,6.0,2.0,4.0,4,2,5.0,0.78,-4,https://www.baseball-reference.com/boxes/NYA/NYA202304030.shtml,-7.0,1.667,8.667,-7.0,2.6,9.2,-6.6,4.2,5.9,-1.7
4,3,NYY,1,PHI,0,1.0,4.0,3-2,2.0,1,0.92,-1,https://www.baseball-reference.com/boxes/NYA/NYA202304040.shtml,-3.0,5.0,1.667,3.333,5.0,2.4,2.6,5.0,2.4,2.6,4,3,4.0,0.73,1,https://www.baseball-reference.com/boxes/NYA/NYA202304040.shtml,3.0,2.0,3.667,-1.667,3.2,7.6,-4.4,3.5,5.8,-2.3
4,4,NYY,1,PHI,1,4.0,2.0,4-2,2.0,0,0.89,1,https://www.baseball-reference.com/boxes/NYA/NYA202304050.shtml,2.0,4.333,2.333,2.0,4.8,2.8,2.0,4.833,2.333,2.5,4,4,4.0,0.82,-1,https://www.baseball-reference.com/boxes/NYA/NYA202304050.shtml,-2.0,2.333,4.333,-2.0,2.2,6.2,-4.0,3.5,5.8,-2.3
4,6,NYY,0,BAL,0,6.0,7.0,4-3,3.0,0,1.05,-1,https://www.baseball-reference.com/boxes/BAL/BAL202304070.shtml,-1.0,3.667,4.333,-0.667,5.0,2.8,2.2,5.0,3.0,2.0,4,6,3.0,0.99,1,https://www.baseball-reference.com/boxes/BAL/BAL202304070.shtml,1.0,5.333,4.333,1.0,4.6,4.4,0.2,6.5,6.3,0.2
4,0,NYY,0,BAL,1,4.0,1.0,5-3,2.0,1,1.02,1,https://www.baseball-reference.com/boxes/BAL/BAL202304080.shtml,3.0,4.667,3.333,1.333,4.6,3.0,1.6,4.875,2.75,2.125,4,0,4.0,1.05,-1,https://www.baseball-reference.com/boxes/BAL/BAL202304080.shtml,-3.0,3.333,5.0,-1.667,3.8,3.4,0.4,5.5,6.3,-0.8
4,1,NYY,0,BAL,1,5.0,3.0,6-3,2.0,0,1.05,2,https://www.baseball-reference.com/boxes/BAL/BAL202304090.shtml,2.0,5.0,3.667,1.333,4.0,3.4,0.6,4.889,2.778,2.111,4,1,5.0,0.96,-2,https://www.baseball-reference.com/boxes/BAL/BAL202304090.shtml,-2.0,3.667,5.0,-1.333,4.0,4.4,-0.4,5.3,6.1,-0.8
4,2,NYY,0,CLE,0,2.0,3.0,6-4,2.0,1,1.01,-1,https://www.baseball-reference.com/boxes/CLE/CLE202304100.shtml,-1.0,3.667,2.333,1.333,4.2,3.2,1.0,4.6,2.8,1.8,4,2,1.0,1.07,2,https://www.baseball-reference.com/boxes/CLE/CLE202304100.shtml,1.0,4.0,3.667,0.333,4.2,4.0,0.2,5.3,4.4,0.9
4,3,NYY,0,CLE,1,11.0,2.0,7-4,2.0,1,1.0,1,https://www.baseball-reference.com/boxes/CLE/CLE202304110.shtml,9.0,6.0,2.667,3.333,5.6,3.2,2.4,5.2,3.0,2.2,4,3,2.0,1.12,-1,https://www.baseball-reference.com/boxes/CLE/CLE202304110.shtml,-9.0,4.0,6.333,-2.333,3.4,5.4,-2.0,4.6,5.1,-0.5
4,4,NYY,0,CLE,1,4.0,3.0,8-4,2.0,0,1.02,2,https://www.baseball-reference.com/boxes/CLE/CLE202304120.shtml,1.0,5.667,2.667,3.0,5.2,2.4,2.8,5.1,2.6,2.5,4,4,2.0,1.09,-2,https://www.baseball-reference.com/boxes/CLE/CLE202304120.shtml,-1.0,2.667,5.667,-3.0,3.4,5.2,-1.8,4.7,5.5,-0.8
4,5,NYY,1,MIN,0,2.0,11.0,8-5,2.0,1,1.06,-1,https://www.baseball-reference.com/boxes/NYA/NYA202304130.shtml,-9.0,5.667,5.333,0.333,4.8,4.4,0.4,4.7,3.7,1.0,4,5,1.0,1.11,3,https://www.baseball-reference.com/boxes/NYA/NYA202304130.shtml,9.0,6.0,2.0,4.0,4.4,3.0,1.4,4.7,3.0,1.7
4,6,NYY,1,MIN,0,3.0,4.0,8-6,3.0,1,1.03,-2,https://www.baseball-reference.com/boxes/NYA/NYA202304140.shtml,-1.0,3.0,6.0,-3.0,4.4,4.6,-0.2,4.2,4.0,0.2,4,6,1.0,1.17,4,https://www.baseball-reference.com/boxes/NYA/NYA202304140.shtml,1.0,6.0,2.0,4.0,5.0,2.6,2.4,4.0,3.2,0.8
4,0,NYY,1,MIN,1,6.0,1.0,9-6,3.0,0,1.0,1,https://www.baseball-reference.com/boxes/NYA/NYA202304150.shtml,5.0,3.667,5.333,-1.667,5.2,4.2,1.0,4.7,3.7,1.0,4,0,1.0,1.16,-1,https://www.baseball-reference.com/boxes/NYA/NYA202304150.shtml,-5.0,5.333,3.667,1.667,4.6,3.0,1.6,4.1,3.7,0.4
4,1,NYY,1,MIN,1,2.0,0.0,10-6,2.0,0,1.01,2,https://www.baseball-reference.com/boxes/NYA/NYA202304160.shtml,2.0,3.667,1.667,2.0,3.4,3.8,-0.4,4.5,3.5,1.0,4,1,1.0,1.17,-2,https://www.baseball-reference.com/boxes/NYA/NYA202304160.shtml,-2.0,1.667,3.667,-2.0,3.8,2.8,1.0,3.9,3.4,0.5
